Louvain_Community,Louvain_Size,Best_GT_Community,GT_Size,Intersection,Precision,Recall,F1,Jaccard
187,62,10932,62,62,1.0,1.0,1.0,1.0
210,30,29270,30,30,1.0,1.0,1.0,1.0
213,30,34811,30,30,1.0,1.0,1.0,1.0
174,95,27095,94,94,0.9894736842105263,1.0,0.9947089947089947,0.9894736842105263
165,132,50949,129,129,0.9772727272727273,1.0,0.9885057471264368,0.9772727272727273
192,51,20138,49,49,0.9607843137254902,1.0,0.98,0.9607843137254902
183,69,43974,65,65,0.9420289855072463,1.0,0.9701492537313433,0.9420289855072463
196,49,54897,46,46,0.9387755102040817,1.0,0.968421052631579,0.9387755102040817
179,79,9514,74,74,0.9367088607594937,1.0,0.9673202614379084,0.9367088607594937
215,28,40907,30,28,1.0,0.9333333333333333,0.9655172413793104,0.9333333333333333
146,274,31510,312,274,1.0,0.8782051282051282,0.9351535836177475,0.8782051282051282
217,24,31491,21,21,0.875,1.0,0.9333333333333333,0.875
164,132,39994,114,114,0.8636363636363636,1.0,0.9268292682926829,0.8636363636363636
175,88,8399,74,74,0.8409090909090909,1.0,0.9135802469135803,0.8409090909090909
195,49,4531,41,41,0.8367346938775511,1.0,0.9111111111111111,0.8367346938775511
161,147,73872,120,120,0.8163265306122449,1.0,0.898876404494382,0.8163265306122449
197,48,9912,38,38,0.7916666666666666,1.0,0.8837209302325582,0.7916666666666666
171,107,70943,76,76,0.7102803738317757,1.0,0.8306010928961748,0.7102803738317757
190,57,59222,40,40,0.7017543859649122,1.0,0.8247422680412371,0.7017543859649122
154,189,73306,120,120,0.6349206349206349,1.0,0.7766990291262136,0.6349206349206349
208,32,18855,20,20,0.625,1.0,0.7692307692307693,0.625
5,8566,51176,10219,7206,0.8412327807611487,0.7051570603777277,0.7672078786265638,0.6223335348475689
148,255,21420,152,152,0.596078431372549,1.0,0.7469287469287469,0.596078431372549
123,554,36279,328,328,0.592057761732852,1.0,0.7437641723356009,0.592057761732852
209,31,16887,18,18,0.5806451612903226,1.0,0.7346938775510204,0.5806451612903226
22,4396,7179,4870,3364,0.7652411282984531,0.6907597535934291,0.7260954025469458,0.5699762792273806
189,58,69916,33,33,0.5689655172413793,1.0,0.7252747252747253,0.5689655172413793
172,99,14000,55,55,0.5555555555555556,1.0,0.7142857142857143,0.5555555555555556
60,1652,24551,1056,949,0.5744552058111381,0.8986742424242424,0.7008862629246677,0.5395110858442297
106,734,3389,949,589,0.8024523160762943,0.6206533192834562,0.6999405822935234,0.5383912248628885
129,469,42243,272,252,0.5373134328358209,0.9264705882352942,0.680161943319838,0.5153374233128835
12,5837,3876,8194,4574,0.7836217234880932,0.5582133268245058,0.651984890599387,0.4836628952098974
142,334,60238,203,172,0.5149700598802395,0.8472906403940886,0.6405959031657356,0.4712328767123288
228,10,62179,23,10,1.0,0.43478260869565216,0.6060606060606061,0.43478260869565216
198,46,9415,21,20,0.43478260869565216,0.9523809523809523,0.5970149253731344,0.425531914893617
73,1279,1378,1691,879,0.6872556684910086,0.5198107628622117,0.5919191919191918,0.42037302725968434
26,3627,59340,6266,2745,0.7568238213399504,0.43807851899138206,0.5549378348327101,0.384023503077784
212,30,45616,11,11,0.36666666666666664,1.0,0.5365853658536585,0.36666666666666664
14,5454,59671,7885,3542,0.6494316098276495,0.44920735573874443,0.5310742934252942,0.361539246708176
