GT_Community,GT_Size,Best_Louvain,Louvain_Size,Intersection,Precision,Recall,F1,Jaccard
0,7,59,1671,7,0.004189108318372232,1.0,0.008343265792610249,0.004189108318372232
1,27,35,2934,27,0.009202453987730062,1.0,0.018237082066869303,0.009202453987730062
2,26,35,2934,26,0.008861622358554875,1.0,0.01756756756756757,0.008861622358554875
3,5,63,1589,5,0.0031466331025802393,1.0,0.006273525721455458,0.0031466331025802393
4,6,67,1429,5,0.0034989503149055285,0.8333333333333334,0.006968641114982579,0.0034965034965034965
5,4,67,1429,4,0.0027991602519244225,1.0,0.005582693649685973,0.0027991602519244225
6,4,71,1326,4,0.0030165912518853697,1.0,0.006015037593984963,0.0030165912518853697
7,4,71,1326,4,0.0030165912518853697,1.0,0.006015037593984963,0.0030165912518853697
8,9,71,1326,6,0.004524886877828055,0.6666666666666666,0.008988764044943821,0.004514672686230248
9,4,109,664,4,0.006024096385542169,1.0,0.011976047904191616,0.006024096385542169
10,3,7,6767,3,0.0004433279148810403,1.0,0.0008862629246676514,0.0004433279148810403
11,6,7,6767,6,0.0008866558297620806,1.0,0.0017717407352724052,0.0008866558297620806
12,17,7,6767,15,0.0022166395744052016,0.8823529411764706,0.004422169811320755,0.002215984635839858
13,11,7,6767,9,0.0013299837446431211,0.8181818181818182,0.0026556506344054295,0.0013295907815039148
14,6,7,6767,4,0.0005911038865080538,0.6666666666666666,0.0011811604901816033,0.0005909292362239622
15,3,54,1939,3,0.0015471892728210418,1.0,0.0030895983522142125,0.0015471892728210418
16,11,98,805,11,0.013664596273291925,1.0,0.026960784313725488,0.013664596273291925
17,8,98,805,8,0.009937888198757764,1.0,0.01968019680196802,0.009937888198757764
18,6,98,805,6,0.007453416149068323,1.0,0.014796547472256474,0.007453416149068323
19,8,39,2677,8,0.0029884198729921555,1.0,0.00595903165735568,0.0029884198729921555
20,3,15,5169,3,0.0005803830528148578,1.0,0.001160092807424594,0.0005803830528148578
21,3,15,5169,3,0.0005803830528148578,1.0,0.001160092807424594,0.0005803830528148578
22,5,15,5169,5,0.000967305088024763,1.0,0.001932740626207963,0.000967305088024763
23,7,8,6297,4,0.0006352231221216452,0.5714285714285714,0.001269035532994924,0.0006349206349206349
24,6,4,8839,6,0.0006788098201153976,1.0,0.0013566986998304125,0.0006788098201153976
25,3,2,11458,3,0.00026182579856868566,1.0,0.000523514527528139,0.00026182579856868566
26,9,58,1712,9,0.005257009345794392,1.0,0.010459035444509006,0.005257009345794392
27,12,58,1712,12,0.007009345794392523,1.0,0.013921113689095127,0.007009345794392523
28,3,5,8566,3,0.0003502218071445249,1.0,0.0007001983895437041,0.0003502218071445249
29,10,15,5169,7,0.0013542271232346683,0.7,0.002703224560726009,0.0013534416086620263
30,6,10,5960,6,0.0010067114093959733,1.0,0.0020113979215554815,0.0010067114093959733
31,3,20,4543,3,0.0006603565925599824,1.0,0.0013198416190057193,0.0006603565925599824
32,3,30,3190,3,0.0009404388714733542,1.0,0.0018791105543376136,0.0009404388714733542
33,16,30,3190,16,0.005015673981191223,1.0,0.009981285090455396,0.005015673981191223
34,4,30,3190,4,0.0012539184952978057,1.0,0.0025046963055729496,0.0012539184952978057
35,4,30,3190,4,0.0012539184952978057,1.0,0.0025046963055729496,0.0012539184952978057
36,12,54,1939,12,0.006188757091284167,1.0,0.01230138390568939,0.006188757091284167
37,17,54,1939,17,0.008767405879319236,1.0,0.01738241308793456,0.008767405879319236
38,11,84,1063,10,0.00940733772342427,0.9090909090909091,0.0186219739292365,0.009398496240601503
39,3,23,3999,3,0.0007501875468867217,1.0,0.0014992503748125937,0.0007501875468867217
40,8,102,786,8,0.010178117048346057,1.0,0.020151133501259445,0.010178117048346057
41,3,102,786,3,0.003816793893129771,1.0,0.0076045627376425855,0.003816793893129771
42,5,24,3992,5,0.00125250501002004,1.0,0.002501876407305479,0.00125250501002004
43,11,24,3992,6,0.001503006012024048,0.5454545454545454,0.0029977516862353237,0.0015011258443832875
44,10,169,113,10,0.08849557522123894,1.0,0.1626016260162602,0.08849557522123894
45,6,169,113,6,0.05309734513274336,1.0,0.10084033613445377,0.05309734513274336
46,8,70,1347,8,0.005939123979213066,1.0,0.011808118081180811,0.005939123979213066
47,5,7,6767,5,0.0007388798581350672,1.0,0.0014766686355581807,0.0007388798581350672
48,6,47,2156,6,0.0027829313543599257,1.0,0.005550416281221091,0.0027829313543599257
49,3,16,5112,3,0.0005868544600938967,1.0,0.0011730205278592375,0.0005868544600938967
50,4,16,5112,4,0.000782472613458529,1.0,0.0015637216575449572,0.000782472613458529
51,8,1,12446,6,0.00048208259681825486,0.75,0.0009635458487233017,0.0004820051413881748
52,4,86,1015,4,0.003940886699507389,1.0,0.007850834151128557,0.003940886699507389
53,3,45,2354,3,0.001274426508071368,1.0,0.0025456088247772595,0.001274426508071368
54,3,82,1067,3,0.0028116213683223993,1.0,0.005607476635514018,0.0028116213683223993
55,12,82,1067,12,0.011246485473289597,1.0,0.022242817423540315,0.011246485473289597
56,20,19,4589,14,0.003050773589017215,0.7,0.0060750705142113256,0.003046789989118607
57,17,19,4589,11,0.002397036391370669,0.6470588235294118,0.004776378636561007,0.002393906420021763
58,18,19,4589,12,0.0026149487905861844,0.6666666666666666,0.005209463859344476,0.0026115342763873774
59,10,19,4589,10,0.0021791239921551534,1.0,0.004348771472059143,0.0021791239921551534
60,7,19,4589,7,0.0015253867945086074,1.0,0.0030461270670147952,0.0015253867945086074
61,3,19,4589,3,0.0006537371976465461,1.0,0.0013066202090592336,0.0006537371976465461
62,4,19,4589,4,0.0008716495968620615,1.0,0.0017417809710428911,0.0008716495968620615
63,6,14,5454,6,0.0011001100110011,1.0,0.002197802197802198,0.0011001100110011
64,5,12,5837,5,0.0008566044200788076,1.0,0.0017117425539198905,0.0008566044200788076
65,6,28,3387,6,0.001771479185119575,1.0,0.003536693191865606,0.001771479185119575
66,7,27,3421,6,0.0017538731365097924,0.8571428571428571,0.003500583430571762,0.0017533606078316774
67,7,28,3387,7,0.002066725715972837,1.0,0.0041249263406010605,0.002066725715972837
68,6,28,3387,6,0.001771479185119575,1.0,0.003536693191865606,0.001771479185119575
69,5,53,1996,5,0.00250501002004008,1.0,0.004997501249375312,0.00250501002004008
70,6,4,8839,6,0.0006788098201153976,1.0,0.0013566986998304125,0.0006788098201153976
71,3,40,2585,3,0.0011605415860735009,1.0,0.00231839258114374,0.0011605415860735009
72,3,51,2083,3,0.0014402304368698992,1.0,0.0028763183125599234,0.0014402304368698992
73,4,90,969,3,0.0030959752321981426,0.75,0.006166495375128468,0.003092783505154639
74,5,90,969,4,0.0041279669762641896,0.8,0.008213552361396304,0.004123711340206186
75,7,90,969,7,0.007223942208462332,1.0,0.014344262295081968,0.007223942208462332
76,8,90,969,8,0.008255933952528379,1.0,0.016376663254861822,0.008255933952528379
77,3,90,969,3,0.0030959752321981426,1.0,0.00617283950617284,0.0030959752321981426
78,3,0,12666,3,0.00023685457129322596,1.0,0.0004735969689793986,0.00023685457129322596
79,3,0,12666,2,0.00015790304752881732,0.6666666666666666,0.0003157313126529324,0.00015789058182679404
80,7,98,805,7,0.008695652173913044,1.0,0.017241379310344827,0.008695652173913044
81,4,35,2934,4,0.0013633265167007499,1.0,0.002722940776038121,0.0013633265167007499
82,3,35,2934,3,0.0010224948875255625,1.0,0.002042900919305414,0.0010224948875255625
83,5,37,2781,5,0.0017979144192736426,1.0,0.003589375448671931,0.0017979144192736426
84,4,37,2781,4,0.001438331535418914,1.0,0.0028725314183123875,0.001438331535418914
85,4,98,805,4,0.004968944099378882,1.0,0.009888751545117428,0.004968944099378882
86,3,62,1643,3,0.0018259281801582471,1.0,0.0036452004860267314,0.0018259281801582471
87,5,78,1200,5,0.004166666666666667,1.0,0.008298755186721992,0.004166666666666667
88,7,78,1200,7,0.005833333333333334,1.0,0.0115990057995029,0.005833333333333334
89,5,78,1200,5,0.004166666666666667,1.0,0.008298755186721992,0.004166666666666667
90,3,78,1200,3,0.0025,1.0,0.004987531172069826,0.0025
91,6,0,12666,4,0.00031580609505763463,0.6666666666666666,0.0006313131313131314,0.00031575623618566466
92,4,62,1643,4,0.002434570906877663,1.0,0.004857316332726169,0.002434570906877663
93,3,62,1643,3,0.0018259281801582471,1.0,0.0036452004860267314,0.0018259281801582471
94,4,24,3992,4,0.001002004008016032,1.0,0.0020020020020020016,0.001002004008016032
95,3,24,3992,3,0.000751503006012024,1.0,0.001501877346683354,0.000751503006012024
96,6,62,1643,6,0.0036518563603164943,1.0,0.0072771376591873865,0.0036518563603164943
97,3,62,1643,3,0.0018259281801582471,1.0,0.0036452004860267314,0.0018259281801582471
98,13,0,12666,13,0.0010263698089373124,1.0,0.002050634908115782,0.0010263698089373124
99,7,0,12666,7,0.0005526606663508606,1.0,0.0011047108024934901,0.0005526606663508606
100,6,0,12666,6,0.0004737091425864519,1.0,0.0009469696969696971,0.0004737091425864519
101,5,0,12666,5,0.0003947576188220433,1.0,0.0007892036934732855,0.0003947576188220433
102,5,0,12666,5,0.0003947576188220433,1.0,0.0007892036934732855,0.0003947576188220433
103,3,0,12666,3,0.00023685457129322596,1.0,0.0004735969689793986,0.00023685457129322596
104,3,0,12666,3,0.00023685457129322596,1.0,0.0004735969689793986,0.00023685457129322596
105,5,3,10990,5,0.00045495905368516835,1.0,0.0009095043201455208,0.00045495905368516835
106,5,2,11458,5,0.0004363763309478094,1.0,0.0008723719794120213,0.0004363763309478094
107,3,4,8839,3,0.0003394049100576988,1.0,0.0006785795068988916,0.0003394049100576988
108,3,26,3627,3,0.0008271298593879239,1.0,0.0016528925619834713,0.0008271298593879239
109,3,6,6949,3,0.00043171679378327816,1.0,0.0008630609896432681,0.00043171679378327816
110,62,97,847,36,0.04250295159386069,0.5806451612903226,0.07920792079207922,0.041237113402061855
111,313,97,847,152,0.179456906729634,0.48562300319488816,0.2620689655172414,0.15079365079365079
112,26,0,12666,22,0.0017369335228169904,0.8461538461538461,0.0034667507091080997,0.0017363851617995265
113,8,16,5112,5,0.0009780907668231612,0.625,0.001953125,0.0009775171065493646
114,9,0,12666,9,0.0007105637138796779,1.0,0.0014201183431952662,0.0007105637138796779
115,6,0,12666,6,0.0004737091425864519,1.0,0.0009469696969696971,0.0004737091425864519
116,3,31,3175,3,0.0009448818897637795,1.0,0.0018879798615481437,0.0009448818897637795
117,4,31,3175,4,0.0012598425196850393,1.0,0.0025165146272412707,0.0012598425196850393
118,3,23,3999,3,0.0007501875468867217,1.0,0.0014992503748125937,0.0007501875468867217
